"state_name","current_year","current_quarter","current_tx","previous_tx","growth","growth_percent"
"gujarat",2022,3,"303239732","252052796","51186936","20.31"
"chandigarh",2019,3,"1506543","1252470","254073","20.29"
"jharkhand",2023,2,"289233893","240458103","48775790","20.28"
"nagaland",2021,4,"1631483","1356792","274691","20.25"
"rajasthan",2020,1,"102258812","85074242","17184570","20.20"
"telangana",2021,2,"495867544","412572110","83295434","20.19"
"punjab",2021,2,"32171248","26770835","5400413","20.17"
"telangana",2021,1,"412572110","343643787","68928323","20.06"
"andhra-pradesh",2018,4,"30759548","25626061","5133487","20.03"
"nagaland",2021,3,"1356792","1130791","226001","19.99"
"west-bengal",2021,2,"141897437","118254052","23643385","19.99"
"haryana",2023,2,"457536190","381318464","76217726","19.99"
"telangana",2022,2,"1063382557","886453385","176929172","19.96"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,2,"5759771","4802803","956968","19.93"
"uttar-pradesh",2023,1,"1002557722","836369071","166188651","19.87"
"jharkhand",2022,2,"132925275","110911210","22014065","19.85"
"sikkim",2024,1,"5820146","4857324","962822","19.82"
"chhattisgarh",2020,1,"19523991","16305758","3218233","19.74"
"gujarat",2022,2,"252052796","210547146","41505650","19.71"
"chhattisgarh",2022,2,"116584048","97413292","19170756","19.68"
"mizoram",2021,2,"394340","329575","64765","19.65"
"uttar-pradesh",2024,2,"2135538658","1785296948","350241710","19.62"
"delhi",2024,2,"777540400","650734058","126806342","19.49"
"jharkhand",2022,4,"175300092","146815332","28484760","19.40"
"meghalaya",2019,4,"365981","306550","59431","19.39"
"mizoram",2024,3,"2360206","1977079","383127","19.38"
"tripura",2021,3,"2081200","1744429","336771","19.31"
"puducherry",2020,1,"1207921","1012655","195266","19.28"
"andaman-&-nicobar-islands",2023,4,"3695783","3098376","597407","19.28"
"assam",2020,2,"10505199","8808860","1696339","19.26"
"nagaland",2020,1,"378051","317170","60881","19.20"
"andhra-pradesh",2020,1,"127677357","107218103","20459254","19.08"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,4,"18302373","15370328","2932045","19.08"
"tripura",2022,2,"3418664","2871190","547474","19.07"
"chhattisgarh",2019,2,"9389945","7887669","1502276","19.05"
"arunachal-pradesh",2020,3,"962827","808774","154053","19.05"
"bihar",2021,1,"114932477","96591673","18340804","18.99"
"lakshadweep",2020,3,"8589","7220","1369","18.96"
"andaman-&-nicobar-islands",2023,2,"2707775","2276392","431383","18.95"
"manipur",2021,4,"4687439","3941396","746043","18.93"
"odisha",2022,2,"313451598","263633499","49818099","18.90"
"uttar-pradesh",2022,4,"836369071","703589072","132779999","18.87"
"sikkim",2021,3,"1160594","976714","183880","18.83"
"chandigarh",2021,4,"7898903","6649378","1249525","18.79"
"meghalaya",2023,3,"6029842","5077212","952630","18.76"
"west-bengal",2023,2,"545317686","459278344","86039342","18.73"
"arunachal-pradesh",2024,2,"19478372","16406414","3071958","18.72"
"maharashtra",2020,1,"238944081","201260620","37683461","18.72"
"punjab",2019,2,"8509830","7172137","1337693","18.65"
"uttarakhand",2019,3,"5710476","4813275","897201","18.64"
"tripura",2018,4,"448059","377703","70356","18.63"
"rajasthan",2024,1,"1599474007","1349472154","250001853","18.53"
"bihar",2020,2,"53386742","45081815","8304927","18.42"
"uttar-pradesh",2021,2,"241949131","204499547","37449584","18.31"
"tamil-nadu",2020,1,"66953473","56596411","10357062","18.30"
"lakshadweep",2023,2,"34918","29520","5398","18.29"
"odisha",2021,2,"131824337","111460358","20363979","18.27"
"bihar",2022,4,"517084649","437367385","79717264","18.23"
"uttar-pradesh",2022,3,"703589072","595298776","108290296","18.19"
"himachal-pradesh",2022,3,"25164868","21291371","3873497","18.19"
"jammu-&-kashmir",2018,4,"2721310","2303961","417349","18.11"
"nagaland",2022,1,"1925952","1631483","294469","18.05"
"odisha",2024,1,"864178452","732137476","132040976","18.03"
"assam",2020,3,"12397711","10505199","1892512","18.02"
"gujarat",2021,2,"111841396","94774565","17066831","18.01"
"lakshadweep",2019,2,"2926","2481","445","17.94"
"west-bengal",2021,1,"118254052","100340645","17913407","17.85"
"himachal-pradesh",2020,1,"4144480","3516646","627834","17.85"
"chandigarh",2023,2,"11553687","9815605","1738082","17.71"
"jharkhand",2023,4,"374538362","318237426","56300936","17.69"
"delhi",2023,2,"482138998","409753103","72385895","17.67"
"odisha",2023,4,"732137476","622397603","109739873","17.63"
"arunachal-pradesh",2022,4,"4632709","3939418","693291","17.60"
"andaman-&-nicobar-islands",2020,1,"41298","35159","6139","17.46"
"lakshadweep",2021,3,"13370","11384","1986","17.45"
"puducherry",2022,2,"8643687","7359176","1284511","17.45"
"meghalaya",2024,1,"8531262","7268384","1262878","17.37"
"arunachal-pradesh",2022,1,"2804068","2390598","413470","17.30"
"west-bengal",2024,2,"980480707","836408587","144072120","17.23"
"nagaland",2023,3,"3422331","2922001","500330","17.12"
"jharkhand",2024,2,"499685871","426759095","72926776","17.09"
"haryana",2021,2,"105680856","90252784","15428072","17.09"
"jammu-&-kashmir",2023,3,"63903579","54588299","9315280","17.06"
"rajasthan",2022,2,"661170150","564962220","96207930","17.03"
"uttarakhand",2021,1,"20608402","17613271","2995131","17.00"
"meghalaya",2024,4,"14166380","12110124","2056256","16.98"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,3,"1138312","973152","165160","16.97"
"madhya-pradesh",2022,1,"472703058","404308084","68394974","16.92"
"himachal-pradesh",2020,3,"5489876","4695730","794146","16.91"
"west-bengal",2023,4,"737953238","632093191","105860047","16.75"
"bihar",2024,1,"1078734783","924427274","154307509","16.69"
"uttar-pradesh",2022,1,"473953246","406157932","67795314","16.69"
"madhya-pradesh",2024,1,"1286156614","1102294613","183862001","16.68"
"uttar-pradesh",2019,3,"68623959","58883500","9740459","16.54"
"rajasthan",2023,2,"1073459338","921096686","152362652","16.54"
"madhya-pradesh",2020,1,"79366746","68131989","11234757","16.49"
"punjab",2022,3,"84177897","72272823","11905074","16.47"
"uttarakhand",2021,2,"24000432","20608402","3392030","16.46"
"kerala",2022,1,"95280965","81823741","13457224","16.45"
"haryana",2020,1,"44036087","37825985","6210102","16.42"
"punjab",2021,1,"26770835","22997925","3772910","16.41"
"goa",2022,2,"14216054","12214098","2001956","16.39"
"chhattisgarh",2023,2,"249931636","214748957","35182679","16.38"
"meghalaya",2022,1,"1674750","1440193","234557","16.29"
"delhi",2019,4,"80744997","69537876","11207121","16.12"
"rajasthan",2022,3,"767541360","661170150","106371210","16.09"
"bihar",2022,1,"284390434","245126945","39263489","16.02"
"gujarat",2019,2,"28981842","24991451","3990391","15.97"
"himachal-pradesh",2023,4,"38651839","33337054","5314785","15.94"
"west-bengal",2023,3,"632093191","545317686","86775505","15.91"
"karnataka",2022,4,"1378910371","1189761328","189149043","15.90"
"nagaland",2021,2,"1130791","975897","154894","15.87"
"rajasthan",2022,1,"564962220","487621597","77340623","15.86"
"delhi",2022,3,"475592161","410634184","64957977","15.82"
"tripura",2024,2,"12787547","11042639","1744908","15.80"
"puducherry",2019,2,"580077","501092","78985","15.76"
"west-bengal",2022,1,"260505092","225029560","35475532","15.76"
"lakshadweep",2021,4,"15470","13370","2100","15.71"
"maharashtra",2022,1,"1169506438","1010731502","158774936","15.71"
"uttar-pradesh",2023,4,"1566705382","1354622466","212082916","15.66"
"mizoram",2021,4,"553329","478529","74800","15.63"
"telangana",2023,2,"1665430971","1440331458","225099513","15.63"
"assam",2023,4,"193752157","167575351","26176806","15.62"
"sikkim",2024,4,"8916870","7713781","1203089","15.60"
"puducherry",2022,1,"7359176","6368810","990366","15.55"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,1,"4802803","4157085","645718","15.53"
"jharkhand",2022,1,"110911210","96009042","14902168","15.52"
"madhya-pradesh",2023,2,"848037060","734566970","113470090","15.45"
"madhya-pradesh",2023,3,"978812593","848037060","130775533","15.42"
"tripura",2021,2,"1744429","1511423","233006","15.42"
"himachal-pradesh",2019,2,"2502306","2168718","333588","15.38"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,1,"21115009","18302373","2812636","15.37"
"tripura",2020,1,"924502","801824","122678","15.30"
"bihar",2024,4,"1559667675","1352876223","206791452","15.29"
"madhya-pradesh",2022,2,"544899829","472703058","72196771","15.27"
"odisha",2022,4,"445714743","386687326","59027417","15.26"
"rajasthan",2023,3,"1237232167","1073459338","163772829","15.26"
"sikkim",2020,3,"596435","517731","78704","15.20"
"andhra-pradesh",2022,2,"671134030","582603911","88530119","15.20"
"nagaland",2020,4,"847825","736319","111506","15.14"
"nagaland",2021,1,"975897","847825","128072","15.11"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,3,"15370328","13357115","2013213","15.07"
"gujarat",2022,1,"210547146","182987325","27559821","15.06"
"gujarat",2023,2,"416922553","362511326","54411227","15.01"
"chhattisgarh",2022,1,"97413292","84717494","12695798","14.99"
"gujarat",2023,3,"479303590","416922553","62381037","14.96"
"manipur",2022,2,"6105632","5313679","791953","14.90"
"tripura",2023,3,"9108762","7929543","1179219","14.87"
"andaman-&-nicobar-islands",2024,4,"6063900","5279250","784650","14.86"
"mizoram",2023,2,"1208930","1052595","156335","14.85"
"uttar-pradesh",2021,1,"204499547","178167517","26332030","14.78"
"haryana",2022,3,"269361810","234699962","34661848","14.77"
"manipur",2020,4,"1627852","1420168","207684","14.62"
"karnataka",2023,3,"2369262302","2067867526","301394776","14.58"
"andaman-&-nicobar-islands",2023,1,"2276392","1987535","288857","14.53"
"mizoram",2023,4,"1500728","1310413","190315","14.52"
"mizoram",2024,4,"2702443","2360206","342237","14.50"
"andaman-&-nicobar-islands",2023,3,"3098376","2707775","390601","14.43"
"assam",2024,1,"221525056","193752157","27772899","14.33"
"odisha",2023,3,"622397603","544597829","77799774","14.29"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,1,"878579","768971","109608","14.25"
"telangana",2022,1,"886453385","775989773","110463612","14.24"
"arunachal-pradesh",2019,2,"258656","226506","32150","14.19"
"arunachal-pradesh",2023,4,"14617742","12802433","1815309","14.18"
"andhra-pradesh",2023,2,"1305656964","1145532464","160124500","13.98"
"karnataka",2020,1,"271033890","237796252","33237638","13.98"
"uttar-pradesh",2024,1,"1785296948","1566705382","218591566","13.95"
"jharkhand",2024,1,"426759095","374538362","52220733","13.94"
"tripura",2022,1,"2871190","2520693","350497","13.90"
"tripura",2020,2,"1052520","924502","128018","13.85"
"gujarat",2024,2,"690395153","606576671","83818482","13.82"
"rajasthan",2019,2,"50009286","43956040","6053246","13.77"
"chhattisgarh",2024,1,"366176684","321876332","44300352","13.76"
"assam",2019,4,"6760510","5942571","817939","13.76"
"west-bengal",2022,4,"405847597","356792388","49055209","13.75"
"rajasthan",2021,2,"287477039","252730919","34746120","13.75"
"rajasthan",2024,2,"1818855106","1599474007","219381099","13.72"
"bihar",2019,2,"29960479","26356234","3604245","13.68"
"tamil-nadu",2022,1,"294573150","259155976","35417174","13.67"
"maharashtra",2022,4,"1688775272","1486389417","202385855","13.62"
"gujarat",2024,1,"606576671","534115578","72461093","13.57"
"karnataka",2022,1,"1057855407","931725438","126129969","13.54"
"chhattisgarh",2023,4,"321876332","283492657","38383675","13.54"
"andhra-pradesh",2020,2,"144917855","127677357","17240498","13.50"
"himachal-pradesh",2022,4,"28555136","25164868","3390268","13.47"
"nagaland",2024,4,"7921552","6981635","939917","13.46"
"andaman-&-nicobar-islands",2024,3,"5279250","4653224","626026","13.45"
"chhattisgarh",2023,3,"283492657","249931636","33561021","13.43"
"delhi",2023,3,"546706983","482138998","64567985","13.39"
"manipur",2022,1,"5313679","4687439","626240","13.36"
"puducherry",2021,2,"3751387","3309432","441955","13.35"
"west-bengal",2024,1,"836408587","737953238","98455349","13.34"
"chhattisgarh",2021,2,"44689420","39436437","5252983","13.32"
"himachal-pradesh",2020,2,"4695730","4144480","551250","13.30"
"andaman-&-nicobar-islands",2024,1,"4184920","3695783","489137","13.24"
"west-bengal",2023,1,"459278344","405847597","53430747","13.17"
"jharkhand",2021,1,"44621663","39431633","5190030","13.16"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,2,"13357115","11803985","1553130","13.16"
"haryana",2022,1,"191988609","169686975","22301634","13.14"
"west-bengal",2024,4,"1227135682","1084916445","142219237","13.11"
"delhi",2022,1,"330999861","292683359","38316502","13.09"
"west-bengal",2022,3,"356792388","315742141","41050247","13.00"
"andhra-pradesh",2023,3,"1475164403","1305656964","169507439","12.98"
"chandigarh",2023,3,"13052165","11553687","1498478","12.97"
"chhattisgarh",2024,4,"500655404","443640102","57015302","12.85"
"assam",2022,3,"86113811","76334725","9779086","12.81"
"odisha",2023,2,"544597829","482896088","61701741","12.78"
"rajasthan",2022,4,"865574848","767541360","98033488","12.77"
"odisha",2022,1,"263633499","233925366","29708133","12.70"
"punjab",2023,3,"132161181","117290289","14870892","12.68"
"tripura",2019,4,"801824","711717","90107","12.66"
"madhya-pradesh",2023,4,"1102294613","978812593","123482020","12.62"
"tripura",2024,3,"14400581","12787547","1613034","12.61"
"kerala",2019,2,"7283826","6469039","814787","12.60"
"telangana",2023,3,"1875045924","1665430971","209614953","12.59"
"manipur",2024,3,"5700096","5063324","636772","12.58"
"assam",2024,4,"332441531","295345591","37095940","12.56"
"chhattisgarh",2024,2,"412047705","366176684","45871021","12.53"
"lakshadweep",2022,4,"17147","15241","1906","12.51"
"gujarat",2022,4,"341156018","303239732","37916286","12.50"
"chhattisgarh",2022,4,"177960446","158252587","19707859","12.45"
"manipur",2019,1,"265409","236110","29299","12.41"
"jharkhand",2024,4,"586904686","522575883","64328803","12.31"
"maharashtra",2023,4,"2572162725","2290678587","281484138","12.29"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,3,"6465621","5759771","705850","12.25"
"arunachal-pradesh",2024,1,"16406414","14617742","1788672","12.24"
"kerala",2022,3,"119362904","106365322","12997582","12.22"
"nagaland",2024,1,"4258924","3797179","461745","12.16"
"karnataka",2023,2,"2067867526","1844697189","223170337","12.10"
"nagaland",2019,2,"188753","168579","20174","11.97"
"uttar-pradesh",2020,1,"97239132","86905005","10334127","11.89"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,4,"28463700","25446270","3017430","11.86"
"uttar-pradesh",2023,3,"1354622466","1211410582","143211884","11.82"
"telangana",2022,4,"1819506832","1628165401","191341431","11.75"
"maharashtra",2023,2,"2063717848","1848268499","215449349","11.66"
"odisha",2024,4,"1143097568","1023940349","119157219","11.64"
"kerala",2022,2,"106365322","95280965","11084357","11.63"
"madhya-pradesh",2024,2,"1435472057","1286156614","149315443","11.61"
"tamil-nadu",2023,3,"556085008","498429638","57655370","11.57"
"andhra-pradesh",2022,1,"582603911","522254003","60349908","11.56"
"kerala",2021,2,"47191033","42316342","4874691","11.52"
"gujarat",2023,4,"534115578","479303590","54811988","11.44"
"tripura",2023,2,"7929543","7118687","810856","11.39"
"kerala",2022,4,"132960468","119362904","13597564","11.39"
"uttar-pradesh",2024,4,"2544890265","2285955833","258934432","11.33"
"tripura",2023,4,"10140910","9108762","1032148","11.33"
"gujarat",2019,4,"42547632","38228649","4318983","11.30"
"meghalaya",2019,2,"232286","208741","23545","11.28"
"chandigarh",2021,2,"4417547","3970237","447310","11.27"
"gujarat",2020,1,"47326417","42547632","4778785","11.23"
"puducherry",2023,3,"12379641","11130326","1249315","11.22"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,4,"7189585","6465621","723964","11.20"
"andaman-&-nicobar-islands",2024,2,"4653224","4184920","468304","11.19"
"chandigarh",2024,3,"17708385","15940973","1767412","11.09"
"uttarakhand",2023,4,"118071440","106284687","11786753","11.09"
"punjab",2020,1,"15217784","13698625","1519159","11.09"
"sikkim",2023,1,"3396128","3058339","337789","11.04"
"kerala",2023,1,"147621565","132960468","14661097","11.03"
"maharashtra",2023,3,"2290678587","2063717848","226960739","11.00"
"chhattisgarh",2021,1,"39436437","35529636","3906801","11.00"
"tamil-nadu",2022,3,"393496175","354506937","38989238","11.00"
"nagaland",2023,4,"3797179","3422331","374848","10.95"
"telangana",2024,2,"2417264357","2179385307","237879050","10.91"
"tamil-nadu",2022,4,"436316636","393496175","42820461","10.88"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,2,"23393115","21115009","2278106","10.79"
"maharashtra",2021,2,"573616486","517860240","55756246","10.77"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,2,"973152","878579","94573","10.76"
"arunachal-pradesh",2022,3,"3939418","3556925","382493","10.75"
"tripura",2024,4,"15945159","14400581","1544578","10.73"
"west-bengal",2024,3,"1084916445","980480707","104435738","10.65"
"haryana",2023,4,"554748233","501519478","53228755","10.61"
"maharashtra",2024,4,"3634231839","3287403995","346827844","10.55"
"madhya-pradesh",2021,2,"223314680","201998498","21316182","10.55"
"jammu-&-kashmir",2024,3,"119555288","108179014","11376274","10.52"
"andaman-&-nicobar-islands",2019,2,"33689","30486","3203","10.51"
"jharkhand",2022,3,"146815332","132925275","13890057","10.45"
"tamil-nadu",2024,3,"778536701","705083686","73453015","10.42"
"uttarakhand",2022,1,"44560772","40361280","4199492","10.40"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,2,"2125083","1925244","199839","10.38"
"punjab",2022,1,"57758302","52359360","5398942","10.31"
"maharashtra",2024,1,"2835770481","2572162725","263607756","10.25"
"kerala",2024,3,"214695458","194872467","19822991","10.17"
"jharkhand",2020,2,"20141511","18282713","1858798","10.17"
"goa",2022,1,"12214098","11088759","1125339","10.15"
"haryana",2022,4,"296648365","269361810","27286555","10.13"
"tamil-nadu",2024,2,"705083686","640327197","64756489","10.11"
"sikkim",2022,1,"1744302","1584345","159957","10.10"
"jharkhand",2023,3,"318237426","289233893","29003533","10.03"
"uttarakhand",2022,3,"63996519","58166878","5829641","10.02"
"andhra-pradesh",2024,2,"1930122300","1755428485","174693815","9.95"
"andhra-pradesh",2024,1,"1755428485","1596987426","158441059","9.92"
"puducherry",2024,3,"16008711","14564895","1443816","9.91"
"andhra-pradesh",2024,4,"2296445544","2091371362","205074182","9.81"
"puducherry",2023,2,"11130326","10144295","986031","9.72"
"gujarat",2024,3,"757441250","690395153","67046097","9.71"
"himachal-pradesh",2022,1,"16088180","14666864","1421316","9.69"
"goa",2023,2,"26530590","24195070","2335520","9.65"
"haryana",2023,3,"501519478","457536190","43983288","9.61"
"arunachal-pradesh",2024,4,"26793457","24447142","2346315","9.60"
"madhya-pradesh",2024,4,"1685401835","1537738457","147663378","9.60"
"madhya-pradesh",2019,2,"40846013","37301049","3544964","9.50"
"bihar",2018,4,"15732401","14367804","1364597","9.50"
"maharashtra",2023,1,"1848268499","1688775272","159493227","9.44"
"delhi",2023,4,"598150746","546706983","51443763","9.41"
"assam",2023,1,"113760638","103981267","9779371","9.40"
"mizoram",2022,1,"604917","553329","51588","9.32"
"himachal-pradesh",2019,3,"2735180","2502306","232874","9.31"
"kerala",2023,3,"170658651","156170617","14488034","9.28"
"odisha",2024,2,"944027735","864178452","79849283","9.24"
"gujarat",2024,4,"827374966","757441250","69933716","9.23"
"meghalaya",2024,3,"12110124","11089661","1020463","9.20"
"punjab",2022,4,"91835180","84177897","7657283","9.10"
"punjab",2024,3,"187554720","171946137","15608583","9.08"
"rajasthan",2023,4,"1349472154","1237232167","112239987","9.07"
"karnataka",2024,1,"2796439155","2564434164","232004991","9.05"
"andaman-&-nicobar-islands",2021,1,"244752","224531","20221","9.01"
"assam",2019,3,"5942571","5454929","487642","8.94"
"haryana",2024,1,"604293500","554748233","49545267","8.93"
"tripura",2024,1,"11042639","10140910","901729","8.89"
"chandigarh",2022,1,"8600491","7898903","701588","8.88"
"sikkim",2023,3,"4804937","4412967","391970","8.88"
"sikkim",2021,1,"800189","735035","65154","8.86"
"assam",2024,3,"295345591","271327087","24018504","8.85"
"nagaland",2023,2,"2922001","2685570","236431","8.80"
"delhi",2024,1,"650734058","598150746","52583312","8.79"
"karnataka",2024,2,"3042012848","2796439155","245573693","8.78"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,3,"25446270","23393115","2053155","8.78"
"delhi",2024,3,"844844523","777540400","67304123","8.66"
"jammu-&-kashmir",2024,1,"75116355","69167132","5949223","8.60"
"kerala",2024,4,"233112441","214695458","18416983","8.58"
"haryana",2021,1,"90252784","83171439","7081345","8.51"
"odisha",2024,3,"1023940349","944027735","79912614","8.47"
"nagaland",2023,1,"2685570","2476205","209365","8.46"
"mizoram",2024,1,"1627016","1500728","126288","8.42"
"mizoram",2023,3,"1310413","1208930","101483","8.39"
"andhra-pradesh",2024,3,"2091371362","1930122300","161249062","8.35"
"odisha",2023,1,"482896088","445714743","37181345","8.34"
"delhi",2022,4,"515203457","475592161","39611296","8.33"
"puducherry",2024,2,"14564895","13446950","1117945","8.31"
"andhra-pradesh",2023,4,"1596987426","1475164403","121823023","8.26"
"karnataka",2023,4,"2564434164","2369262302","195171862","8.24"
"jammu-&-kashmir",2023,4,"69167132","63903579","5263553","8.24"
"himachal-pradesh",2024,4,"53798398","49737549","4060849","8.16"
"delhi",2021,2,"170157264","157359004","12798260","8.13"
"telangana",2024,4,"2822451603","2610137835","212313768","8.13"
"tamil-nadu",2023,2,"498429638","461212387","37217251","8.07"
"maharashtra",2024,2,"3063494802","2835770481","227724321","8.03"
"telangana",2024,3,"2610137835","2417264357","192873478","7.98"
"jharkhand",2019,2,"10128211","9387708","740503","7.89"
"tamil-nadu",2024,1,"640327197","593481381","46845816","7.89"
"telangana",2024,1,"2179385307","2020822178","158563129","7.85"
"delhi",2024,4,"910543082","844844523","65698559","7.78"
"telangana",2023,4,"2020822178","1875045924","145776254","7.77"
"chhattisgarh",2024,3,"443640102","412047705","31592397","7.67"
"mizoram",2019,2,"75671","70306","5365","7.63"
"haryana",2024,3,"794940220","738553925","56386295","7.63"
"punjab",2023,4,"142228995","132161181","10067814","7.62"
"uttarakhand",2024,4,"171136132","159278815","11857317","7.44"
"kerala",2024,2,"194872467","181463966","13408501","7.39"
"bihar",2023,3,"734238751","683933094","50305657","7.36"
"andhra-pradesh",2022,4,"690017077","642855035","47162042","7.34"
"sikkim",2024,3,"7713781","7188322","525459","7.31"
"maharashtra",2024,3,"3287403995","3063494802","223909193","7.31"
"puducherry",2022,4,"7556127","7042727","513400","7.29"
"bihar",2019,3,"32139900","29960479","2179421","7.27"
"karnataka",2024,3,"3261134095","3042012848","219121247","7.20"
"lakshadweep",2022,2,"17569","16397","1172","7.15"
"madhya-pradesh",2024,3,"1537738457","1435472057","102266400","7.12"
"uttar-pradesh",2024,3,"2285955833","2135538658","150417175","7.04"
"tamil-nadu",2021,2,"146158442","136556674","9601768","7.03"
"tamil-nadu",2023,4,"593481381","556085008","37396373","6.72"
"ladakh",2021,4,"630187","590987","39200","6.63"
"ladakh",2022,3,"1190858","1118073","72785","6.51"
"mizoram",2022,2,"643977","604917","39060","6.46"
"rajasthan",2024,3,"1935405035","1818855106","116549929","6.41"
"rajasthan",2023,1,"921096686","865574848","55521838","6.41"
"punjab",2024,4,"199509220","187554720","11954500","6.37"
"gujarat",2023,1,"362511326","341156018","21355308","6.26"
"lakshadweep",2019,3,"3104","2926","178","6.08"
"lakshadweep",2022,1,"16397","15470","927","5.99"
"bihar",2023,1,"547831195","517084649","30746546","5.95"
"karnataka",2024,4,"3455056424","3261134095","193922329","5.95"
"meghalaya",2023,1,"4164705","3932448","232257","5.91"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,1,"1925244","1817791","107453","5.91"
"haryana",2024,4,"841394290","794940220","46454070","5.84"
"kerala",2023,2,"156170617","147621565","8549052","5.79"
"tamil-nadu",2023,1,"461212387","436316636","24895751","5.71"
"goa",2024,2,"37000806","35013987","1986819","5.67"
"jammu-&-kashmir",2024,4,"126261217","119555288","6705929","5.61"
"maharashtra",2022,3,"1486389417","1407533113","78856304","5.60"
"rajasthan",2024,4,"2043469547","1935405035","108064512","5.58"
"punjab",2023,1,"96910821","91835180","5075641","5.53"
"nagaland",2022,2,"2031329","1925952","105377","5.47"
"tamil-nadu",2024,4,"820423888","778536701","41887187","5.38"
"kerala",2023,4,"179843093","170658651","9184442","5.38"
"mizoram",2022,4,"693774","659038","34736","5.27"
"puducherry",2023,4,"12986163","12379641","606522","4.90"
"himachal-pradesh",2021,1,"7614029","7272328","341701","4.70"
"goa",2024,1,"35013987","33460978","1553009","4.64"
"chandigarh",2024,4,"18528444","17708385","820059","4.63"
"jharkhand",2024,3,"522575883","499685871","22890012","4.58"
"uttarakhand",2024,1,"123234577","118071440","5163137","4.37"
"andaman-&-nicobar-islands",2019,4,"35159","33770","1389","4.11"
"manipur",2022,3,"6352742","6105632","247110","4.05"
"goa",2019,2,"768441","738812","29629","4.01"
"uttar-pradesh",2020,2,"100851965","97239132","3612833","3.72"
"bihar",2020,1,"45081815","43530314","1551501","3.56"
"puducherry",2024,1,"13446950","12986163","460787","3.55"
"kerala",2020,2,"16287967","15733522","554445","3.52"
"puducherry",2024,4,"16559677","16008711","550966","3.44"
"uttarakhand",2023,3,"106284687","102758214","3526473","3.43"
"sikkim",2022,3,"2396758","2322081","74677","3.22"
"bihar",2024,3,"1352876223","1313888385","38987838","2.97"
"haryana",2019,2,"22741816","22135775","606041","2.74"
"uttar-pradesh",2019,2,"58883500","57324504","1558996","2.72"
"mizoram",2022,3,"659038","643977","15061","2.34"
"himachal-pradesh",2024,1,"39520561","38651839","868722","2.25"
"mizoram",2021,1,"329575","322607","6968","2.16"
"uttarakhand",2023,1,"79385675","77983880","1401795","1.80"
"goa",2023,3,"26999728","26530590","469138","1.77"
"chandigarh",2023,4,"13280078","13052165","227913","1.75"
"karnataka",2021,2,"530649046","523797492","6851554","1.31"
"andhra-pradesh",2021,1,"289747970","286118552","3629418","1.27"
"delhi",2020,1,"81747604","80744997","1002607","1.24"
"manipur",2022,4,"6428670","6352742","75928","1.20"
"sikkim",2023,4,"4857324","4804937","52387","1.09"
"kerala",2024,1,"181463966","179843093","1620873","0.90"
"manipur",2024,4,"5750423","5700096","50327","0.88"
"uttarakhand",2024,3,"159278815","158564982","713833","0.45"
"andaman-&-nicobar-islands",2019,3,"33770","33689","81","0.24"
"punjab",2024,1,"142537179","142228995","308184","0.22"
"gujarat",2020,2,"47420185","47326417","93768","0.20"
"jharkhand",2020,1,"18282713","18248618","34095","0.19"
"ladakh",2022,1,"630015","630187","-172","-0.03"
"rajasthan",2020,2,"101954656","102258812","-304156","-0.30"
"tamil-nadu",2019,2,"32171737","32275045","-103308","-0.32"
"goa",2024,3,"36762111","37000806","-238695","-0.65"
"meghalaya",2021,1,"747646","754008","-6362","-0.84"
"uttarakhand",2020,2,"9047770","9131784","-84014","-0.92"
"chandigarh",2024,1,"13155173","13280078","-124905","-0.94"
"west-bengal",2019,2,"47023535","47626388","-602853","-1.27"
"andhra-pradesh",2019,2,"56409015","57264522","-855507","-1.49"
"chandigarh",2019,2,"1252470","1274476","-22006","-1.73"
"sikkim",2020,2,"517731","528118","-10387","-1.97"
"arunachal-pradesh",2021,1,"1177456","1209129","-31673","-2.62"
"manipur",2019,2,"257425","265409","-7984","-3.01"
"jammu-&-kashmir",2022,1,"16245311","16790628","-545317","-3.25"
"lakshadweep",2018,4,"1642","1703","-61","-3.58"
"chhattisgarh",2020,2,"18820925","19523991","-703066","-3.60"
"madhya-pradesh",2020,2,"76340573","79366746","-3026173","-3.81"
"andhra-pradesh",2022,3,"642855035","671134030","-28278995","-4.21"
"himachal-pradesh",2023,1,"27301726","28555136","-1253410","-4.39"
"himachal-pradesh",2023,3,"33337054","35061595","-1724541","-4.92"
"haryana",2020,2,"41781050","44036087","-2255037","-5.12"
"ladakh",2024,1,"2987101","3150218","-163117","-5.18"
"jammu-&-kashmir",2022,3,"22534394","23813747","-1279353","-5.37"
